state_name,statute_name
Alabama,Alabama Public Records Law
Alaska,Alaska Public Records Act
Arizona,Arizona Public Records Law
Arkansas,Arkansas Freedom of Information Act
California,California Public Records Act
Colorado,Colorado Open Records Act
Connecticut,Connecticut Freedom of Information Act
Delaware,Delaware Freedom of Information Act
District of Columbia,District of Columbia Freedom of Information Act
Florida,Florida Sunshine Law
Georgia,Georgia Open Records Act
Hawaii,Hawaii Uniform Information Practices Act
Idaho,Idaho Public Records Act
Illinois,Illinois Freedom of Information Act
Indiana,Indiana Access to Public Records Act
Iowa,Iowa Open Records Law
Kansas,Kansas Open Records Act
Kentucky,Kentucky Open Records Act
Louisiana,Louisiana Sunshine Law
Maine,Maine Freedom of Access Act
Maryland,Maryland Public Information Act
Massachusetts,Massachusetts Public Records Act
Michigan,Michigan Freedom of Information Act
Minnesota,Minnesota Data Practices Act
Mississippi,Mississippi Public Records Act
Missouri,Missouri Sunshine Law
Montana,Montana Public Records Act
Nebraska,Nebraska Public Records Law
Nevada,Nevada Open Records Act
New Hampshire,New Hampshire Right to Know Law
New Jersey,New Jersey Open Public Records Act
New Mexico,New Mexico Inspection of Public Records Act
New York,New York Freedom of Information Law
North Carolina,North Carolina Public Records Law
North Dakota,North Dakota Open Records Statute
Ohio,Ohio Open Records Law
Oklahoma,Oklahoma Open Records Act
Oregon,Oregon Public Records Law
Pennsylvania,Pennsylvania Right to Know Act
Rhode Island,Rhode Island Access to Public Records Act
South Carolina,South Carolina Freedom of Information Act
South Dakota,South Dakota Sunshine Law
Tennessee,Tennessee Open Records Act
Texas,Texas Public Information Act
Utah,Utah Government Records Access and Management Act
Vermont,Vermont Public Records Law
Virginia,Virginia Freedom of Information Act
Washington,Washington Public Records Act
West Virginia,West Virginia Freedom of Information Act
Wisconsin,Wisconsin Open Records Law
Wyoming,Wyoming Public Records Act
